Field_number,Sector_en,Sector_fr,Sector_es,Field_en,Field_fr,Field_es,IPC_code,Updated_on,Remark
16,Chemistry,Chimie,Quimica,Pharmaceuticals,Produits pharmaceutiques,Productos farmaceuticos,A61K 127%,,
16,Chemistry,Chimie,Quimica,Pharmaceuticals,Produits pharmaceutiques,Productos farmaceuticos,A61K 129%,,
16,Chemistry,Chimie,Quimica,Pharmaceuticals,Produits pharmaceutiques,Productos farmaceuticos,A61K 131%,,
16,Chemistry,Chimie,Quimica,Pharmaceuticals,Produits pharmaceutiques,Productos farmaceuticos,A61K 133%,,
16,Chemistry,Chimie,Quimica,Pharmaceuticals,Produits pharmaceutiques,Productos farmaceuticos,A61K 135%,,
16,Chemistry,Chimie,Quimica,Pharmaceuticals,Produits pharmaceutiques,Productos farmaceuticos,A61P%,,
17,Chemistry,Chimie,Quimica,"Macromolecular chemistry, polymers","Chimie macromoleculaire, polymeres","Quimica macromolecular, polimeros",C08B%,,
17,Chemistry,Chimie,Quimica,"Macromolecular chemistry, polymers","Chimie macromoleculaire, polymeres","Quimica macromolecular, polimeros",C08C%,,
17,Chemistry,Chimie,Quimica,"Macromolecular chemistry, polymers","Chimie macromoleculaire, polymeres","Quimica macromolecular, polimeros",C08F%,,
17,Chemistry,Chimie,Quimica,"Macromolecular chemistry, polymers","Chimie macromoleculaire, polymeres","Quimica macromolecular, polimeros",C08G%,,
17,Chemistry,Chimie,Quimica,"Macromolecular chemistry, polymers","Chimie macromoleculaire, polymeres","Quimica macromolecular, polimeros",C08H%,,
17,Chemistry,Chimie,Quimica,"Macromolecular chemistry, polymers","Chimie macromoleculaire, polymeres","Quimica macromolecular, polimeros",C08K%,,
17,Chemistry,Chimie,Quimica,"Macromolecular chemistry, polymers","Chimie macromoleculaire, polymeres","Quimica macromolecular, polimeros",C08L%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A01H%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A21D%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A23B%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A23C%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A23D%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A23F%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A23G%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A23J%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A23K%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,A23L%,,
18,Chemistry,Chimie,Quimica,Food chemistry,Chimie alimentaire,Quimica de alimentos,C12C%,,
